10,3,3,3,3,3,3,3,3,3,3,3,3,3,11
6,1,1,1,1,1,1,d2n,1,1,1,1,1,1,5
6,31,31,31,31,31,31,31,31,31,31,31,31,31,5
6,31,38,31,38,31,38,31,38,31,38,31,38,31,5
6,31,31,32,31,31,31,31,31,31,32,31,31,31,5
6,31,38,31,38,31,38,31,38,31,38,31,38,31,5
6,31,31,31,31,31,31,31,31,31,32,31,31,31,5
6,31,38,31,38,31,38,31,38,31,38,31,38,31,5
6,31,31,32,31,31,31,31,31,31,31,31,31,31,5
6,31,38,31,38,31,38,31,38,31,38,32,38,31,5
6,31,31,31,31,32,31,31,31,31,31,31,31,31,5
6,31,38,31,38,31,38,31,38,31,38,31,38,31,5
6,31,31,32,31,31,31,31,31,31,31,31,31,31,5
6,31,38,31,38,31,38,31,38,32,38,31,38,31,5
6,31,31,31,31,31,31,31,31,31,31,31,31,31,5
6,31,38,32,38,31,38,31,38,32,38,31,38,31,5
6,31,31,31,31,31,31,31,32,31,31,31,31,31,5
12,17,31,31,38,32,38,31,38,31,38,31,38,31,5
34,12,17,31,31,31,31,31,31,31,31,31,31,31,5
34,34,12,17,31,31,38,31,38,31,38,31,38,31,5
34,34,34,12,17,31,31,31,31,31,31,31,31,31,5
34,34,34,34,12,17,31,31,38,31,38,31,38,31,5
34,34,34,34,34,12,17,31,31,31,31,31,31,31,5
34,34,34,34,34,34,12,17,31,31,38,31,38,31,5
34,34,34,34,34,34,34,12,17,31,31,31,31,31,5
34,34,34,34,34,34,34,34,12,17,31,31,31,16,13
34,34,34,34,34,34,34,34,34,12,17,37,16,13,34
34,34,34,34,34,34,34,34,34,34,6,30,5,34,34
34,34,34,34,34,34,34,34,34,34,6,32,5,34,34
34,34,34,34,34,34,34,34,34,34,6,31,5,34,34
34,34,34,34,34,34,34,34,34,34,6,31,5,34,34
34,34,34,34,34,34,34,34,34,34,6,31,5,34,34
34,34,34,34,34,34,34,34,34,34,6,31,5,34,34
34,34,34,34,34,34,34,34,34,34,6,31,5,34,34
34,34,34,34,34,34,34,34,34,34,6,31,5,34,34
34,34,34,34,34,34,34,34,34,34,6,31,5,34,34
34,34,34,34,34,34,34,34,34,34,6,31,5,34,34
34,34,34,34,34,34,34,34,34,34,6,31,15,11,34
34,34,34,34,34,34,34,34,34,34,6,31,0,5,34
34,34,34,34,34,34,34,34,34,34,6,31,31,5,34
34,34,34,34,34,34,34,34,34,34,6,31,31,5,34
34,34,34,34,34,34,34,34,34,34,6,31,31,5,34
10,3,3,3,3,3,3,3,3,11,6,31,31,5,34
6,1,d9i,1,1,1,1,d8i,1,5,6,31,31,5,34
6,37,30,37,31,31,32,32,32,5,6,31,31,5,34
6,37,37,37,31,31,32,32,32,5,6,37,37,5,34
6,31,31,31,31,31,31,31,31,5,6,31,31,5,34
6,31,31,31,31,31,31,31,31,5,6,31,31,5,34
6,31,31,31,31,31,31,31,31,5,6,31,31,5,34
6,31,31,31,31,31,31,31,31,5,6,31,31,5,34
6,31,31,31,31,31,31,31,31,5,6,31,31,5,34
12,4,4,4,4,4,4,4,4,13,6,31,31,5,34
10,3,3,3,3,3,3,3,3,3,14,31,31,5,34
6,1,1,1,1,d8i,1,1,1,1,2,31,31,5,34
6,31,31,31,31,31,31,31,31,31,37,31,31,5,34
6,32,38,32,31,31,31,31,31,31,37,31,31,5,34
6,31,31,31,16,4,4,4,4,4,4,4,4,13,34
6,31,38,31,5,34,34,34,34,34,34,34,34,34,34
6,31,31,31,5,34,34,34,34,34,34,34,34,34,34
